generation,particle_id,source_mode,operator_name,destroy_ratio,construction_temperature,candidate_total_cost,candidate_route_count,candidate_single_stop_route_count,candidate_label,candidate_is_balanced_best,archive_injected_route_count,accepted_current,accepted_pbest,accepted_gbest
0,0,construct,construct,0.12,1.0,90654.036698,133.0,95.0,pass2,0,20,1,1,0
0,1,construct,construct,0.14,1.0,90804.438927,133.0,94.0,pass1,0,29,1,1,0
0,2,construct,construct,0.16,1.0,90676.950814,134.0,96.0,pass2,0,29,1,1,0
0,3,construct,construct,0.18,1.0,90755.845404,133.0,93.0,pass2,0,29,1,1,0
0,4,construct,construct,0.2,1.0,90636.804485,133.0,94.0,pass2,0,29,1,1,0
0,5,construct,construct,0.22,1.0,90679.982178,134.0,96.0,pass1,0,32,1,1,0
0,6,construct,construct,0.24,1.0,90575.405156,133.0,94.0,pass2,0,32,1,1,0
0,7,construct,construct,0.26,1.0,90429.470474,133.0,94.0,pass1,0,32,1,1,0
1,0,global_best_balanced,cluster_remove,0.130835,1.048544,90142.329907,133.0,97.0,candidate,1,31,1,1,0
1,1,current,mandatory_split_cluster_remove,0.107691,0.868182,90523.379392,132.0,91.0,pass2,0,31,1,1,0
1,2,personal_best,cluster_remove,0.169637,1.043065,90676.950814,134.0,96.0,candidate,0,31,0,0,0
1,3,current,mandatory_split_cluster_remove,0.185618,1.024885,90699.68166,133.0,92.0,pass1,0,31,1,1,0
1,4,current,typed_route_merge_remove,0.192892,0.96938,,,,,0,0,0,0,0
1,5,global_best_cost,cluster_remove,0.194696,0.895201,90142.329907,133.0,97.0,candidate,1,31,1,1,0
1,6,current,late_route_remove,0.200203,0.840203,90499.991358,133.0,96.0,pass2,0,31,1,1,0
1,7,current,typed_route_merge_remove,0.25,1.144869,90429.470474,133.0,94.0,pass1,0,31,0,0,0
2,0,current,random_remove,0.105747,0.939548,90096.077308,133.0,97.0,pass1,1,31,1,1,1
2,1,global_best_cost,typed_route_merge_remove,0.098953,0.835622,90096.077308,133.0,97.0,pass1,1,22,1,1,0
2,2,personal_best,mandatory_split_cluster_remove,0.159214,0.996568,,,,,0,0,0,0,0
2,3,current,mandatory_split_cluster_remove,0.164723,0.935349,90699.129953,133.0,93.0,pass1,0,22,1,1,0
2,4,personal_best,worst_cost_remove,0.215299,1.069224,90636.804485,133.0,94.0,candidate,0,22,0,0,0
2,5,current,cluster_remove,0.198668,0.910896,90096.077308,133.0,97.0,pass1,1,22,1,1,0
2,6,personal_best,worst_cost_remove,0.202098,0.847197,90499.991358,133.0,96.0,candidate,0,22,0,0,0
2,7,global_best_cost,typed_route_merge_remove,0.25,2.0,90096.077308,133.0,97.0,pass1,1,22,1,1,0
3,0,global_best_balanced,worst_cost_remove,0.092825,0.887904,90096.077308,133.0,97.0,candidate,1,22,0,0,0
3,1,global_best_cost,late_route_remove,0.098985,0.835736,90602.304599,134.0,99.0,pass1,0,22,0,0,0
3,2,personal_best,mandatory_split_cluster_remove,0.147772,0.947908,90631.94848,133.0,92.0,pass2,0,22,1,1,0
3,3,current,mandatory_split_cluster_remove,0.25,2.0,90699.68166,133.0,92.0,pass2,0,22,0,0,0
3,4,current,cluster_remove,0.192154,0.966258,90563.035711,133.0,93.0,pass2,0,22,1,1,0
3,5,personal_best,cluster_remove,0.206701,0.943477,90096.077308,133.0,97.0,candidate,1,22,0,0,0
3,6,global_best_cost,worst_cost_remove,0.191606,0.809187,90096.077308,133.0,97.0,candidate,1,22,1,1,0
3,7,current,typed_route_merge_remove,0.25,2.0,,,,,0,0,0,0,0
4,0,personal_best,random_remove,0.05,0.57311,89873.232469,132.0,96.0,pass1,0,22,1,1,1
4,1,global_best_balanced,typed_route_merge_remove,0.100452,0.841119,90096.077308,133.0,97.0,pass1,1,22,0,0,0
4,2,global_best_balanced,mandatory_split_cluster_remove,0.136914,0.903932,90096.076335,133.0,97.0,pass1,1,22,1,1,0
4,3,global_best_balanced,cluster_remove,0.225848,1.799452,90078.878083,133.0,98.0,pass1,0,23,1,1,0
4,4,global_best_cost,late_route_remove,0.195293,0.979619,90307.412926,133.0,97.0,pass1,0,24,1,1,0
4,5,global_best_balanced,late_route_remove,0.170695,0.805971,90373.219546,132.0,92.0,pass2,0,24,0,0,0
4,6,current,worst_cost_remove,0.214915,0.896062,90078.878083,133.0,98.0,pass1,0,24,1,1,0
4,7,global_best_balanced,random_remove,0.25,2.0,90200.745393,133.0,98.0,pass1,0,24,0,0,0
5,0,current,late_route_remove,0.05,0.512576,90268.52494,133.0,98.0,pass1,0,24,0,0,0
5,1,personal_best,late_route_remove,0.097118,0.828939,90392.074183,133.0,97.0,pass1,0,24,0,0,0
5,2,current,random_remove,0.136389,0.90186,,,,,0,0,0,0,0
5,3,personal_best,cluster_remove,0.228021,1.816642,90078.878083,133.0,98.0,candidate,0,24,0,0,0
5,4,current,worst_cost_remove,0.18998,0.957109,90307.412926,133.0,97.0,candidate,0,24,0,0,0
5,5,global_best_balanced,typed_route_merge_remove,0.175851,0.824356,90078.878083,133.0,98.0,pass1,0,24,1,1,0
5,6,global_best_balanced,cluster_remove,0.216917,0.903944,90078.878083,133.0,98.0,pass1,0,24,0,0,0
5,7,current,typed_route_merge_remove,0.25,2.0,,,,,0,0,0,0,0
